"Year","Actual","Backtesting"
1998,0.014205433646813,0.0141771980265248
1999,0.0250540555978675,0.0245274370707797
2000,0.0244892435424354,0.0233811156264179
2001,0.0427650018635855,0.0424999934251245
2002,0.0356567940953823,0.03678636217758
2003,0.0230391965678627,0.023785185572074
2004,0.00945790285273708,0.0108608008916092
2005,0.00863021957573502,0.00850634472660721
2006,0.00164867304567612,0.00536325634053431
2007,0.0171876092275428,0.0185290577434403
2008,0.049821243789618,0.0519066887517439
2009,0.0856705652328475,0.0814588004753539
2010,0.0368197110040756,0.0337974305123363
2011,0.0343924043909348,0.0338098220464004
2012,0.0622933739130435,0.0573881227933108
2013,0.0698414675478732,0.0645340874256876
2014,0.052418484021198,0.0521241125741447
2015,0.0373649187365839,0.0450819085578217
2016,0.0638841195207038,0.0655272402296904
